serial_id,category,model,brand,specifications,price_tk,price_usd,unit,stock_qty,notes
W-032,surface pump,PEM-3N,CRI,0.5 HP (0.37 kW) | Single-Phase | Flow: 5-30 LPM | Head: 30-7 M | Rated: 1.5 m³/h @ 15 M | Port: 1x1 in,4856,,pc,,
W-033,surface pump,FJWm10M,CRI,1 HP (0.75 kW) | Single-Phase | Flow: 17-84 LPM | Head: 42-15 M | Rated: 2.5 m³/h @ 23 M | Port: 1x1 in,11000,,pc,,
W-034,surface pump,ACM-60N,CRI,0.5 HP (0.37 kW) | Single-Phase | Flow: 60-222 LPM | Head: 12-9 M | Rated: 10 m³/h @ 8 M | Port: 2x2 in,11954,,pc,,
W-035,surface pump,ACM-A6,CRI,1 HP (0.75 kW) | Single-Phase | Flow: 100-500 LPM | Head: 13-7 M | Rated: 20 m³/h @ 8 M | Port: 2x2 in,15530,,pc,,
W-036,surface pump,ACM-40S,CRI,1 HP (0.75 kW) | Single-Phase | Flow: 415-750 LPM | Head: 9-5 M | Rated: 40 m³/h @ 7 M | Port: 3x3 in,19820,,pc,,
W-037,surface pump,ACM-42,CRI,1.5 HP (1.1 kW) | Single-Phase | Flow: 180-840 LPM | Head: 12-6 M | Rated: 45 m³/h @ 8 M | Port: 3x3 in,23704,,pc,,
W-038,surface pump,ACM-64,CRI,3 HP (2.2 kW) | Single-Phase | Flow: 563-1046 LPM | Head: 14-6 M | Rated: 55 m³/h @ 7 M | Port: 4x4 in,34740,,pc,,
W-039,surface pump,L3P-4/06G-02N,CRI,0.33 HP (0.25 kW) | Single-Phase | Flow: 10-90 LPM | Head: 23-5 M | Rated: 4 m³/h @ 15 M | Port: 1.25 in,13125,,pc,,
W-040,surface pump,L3P-4/09G-03N,CRI,0.5 HP (0.37 kW) | Single-Phase | Flow: 10-90 LPM | Head: 34-8 M | Rated: 4 m³/h @ 20 M | Port: 1.25 in,14375,,pc,,
W-041,surface pump,L3P-2E/21G-07N,CRI,1 HP (0.75 kW) | Single-Phase | Flow: 8-60 LPM | Head: 82-21 M | Rated: 2 m³/h @ 65 M | Port: 1 in,18675,,pc,,
